headline,pub_date,url,word_count,news_desk,source
Video of Nashville Bombing Shows Shattered Glass and Confusion,2020-12-28T19:24:33+0000,https://www.nytimes.com/2020/12/28/us/anthony-warner-nashville-bombing-motive.html,1048,National,The New York Times
How Much Watching Time Do You Have This Weekend?,2020-07-23T20:52:10+0000,https://www.nytimes.com/2020/07/23/arts/television/Wynonna-Earp-hannibal-meerkat-manor.html,322,Weekend,The New York Times
I Hope This Email Finds You Well,2020-08-20T02:00:08+0000,https://www.nytimes.com/2020/08/19/smarter-living/coronavirus-how-to-write-better-emails.html,1670,Smarter Living,The New York Times
"White Supremacist Groups Expand Propaganda Efforts, Report Finds",2020-02-12T11:00:07+0000,https://www.nytimes.com/2020/02/12/us/white-supremacist-propaganda-campus.html,604,National,The New York Times
Treating Our Shared World as an Extension of Our Homes,2020-08-07T21:45:05+0000,https://www.nytimes.com/2020/08/07/at-home/newsletter.html,846,AtHome,The New York Times
Podcasts for the Pandemic Era,2020-05-27T15:50:07+0000,https://www.nytimes.com/2020/05/27/arts/podcasts-coronavirus.html,1030,Culture,The New York Times
"Game Time Beer? For M.L.S., Make That a Kickoff Cappuccino",2020-07-09T09:00:08+0000,https://www.nytimes.com/2020/07/09/sports/soccer/coronavirus-mls-soccer-return.html,991,Sports,The New York Times
Obama Mocks Trump’s Chinese Bank Account: ‘They Would’ve Called Me Beijing Barry’,2020-10-21T23:43:11+0000,https://www.nytimes.com/2020/10/21/us/politics/obama-trump.html,611,Politics,The New York Times
"Kenneth Bernard, Convention-Shattering Playwright, Dies at 90",2020-08-20T16:48:10+0000,https://www.nytimes.com/2020/08/20/theater/kenneth-bernard-dead.html,962,Obits,The New York Times
Meet New York’s Impeachment Managers,2020-01-16T10:11:46+0000,https://www.nytimes.com/2020/01/16/nyregion/jerry-nadler-hakeem-jeffries-impeachment.html,1122,Metro,The New York Times
"Billy Goldenberg, TV, Movie and Stage Composer, Dies at 84",2020-08-14T23:30:48+0000,https://www.nytimes.com/2020/08/14/arts/music/billy-goldenberg-tv-movie-and-stage-composer-dies-at-84.html,963,Obits,The New York Times
How the Trump Campaign Took Over the G.O.P.,2020-03-09T07:00:06+0000,https://www.nytimes.com/2020/03/09/us/trump-campaign-brad-parscale.html,3127,Politics,The New York Times
"Paolo Gabriele, Pope’s Butler in ‘Vatileaks’ Scandal, Dies at 54",2020-11-26T18:06:48+0000,https://www.nytimes.com/2020/11/26/world/europe/paolo-gabriele-died.html,618,Obits,The New York Times
"Oscar Snubs and Surprises: Jennifer Lopez, ‘Frozen II,’ Female Directors",2020-01-13T14:45:28+0000,https://www.nytimes.com/2020/01/13/movies/oscar-snubs.html,618,Culture,The New York Times
The Salads You Desire,2020-12-02T15:30:01+0000,https://www.nytimes.com/2020/12/02/dining/the-salads-you-desire.html,569,Dining,The New York Times
The Virus Closed His Bronx Jewelry Store. Then Looters Broke In.,2020-06-03T19:08:03+0000,https://www.nytimes.com/2020/06/03/nyregion/george-floyd-bronx-protests-looting.html,1252,Metro,The New York Times
What Were the Jets Thinking?,2020-12-07T18:28:26+0000,https://www.nytimes.com/2020/12/07/sports/football/jets-raiders-gregg-williams-fired.html,763,Sports,The New York Times
The Newest Guardians of the Galaxy Are Run by the U.S. Military,2020-12-19T18:36:28+0000,https://www.nytimes.com/2020/12/19/us/space-force-guardians-mike-pence.html,361,Express,The New York Times
Donald and Joe Are Ready to Go,2020-10-21T23:37:06+0000,https://www.nytimes.com/2020/10/21/opinion/trump-biden-debate-mute.html,968,OpEd,The New York Times
One of America’s Oldest Gun Makers Files for Bankruptcy for 2nd Time,2020-07-28T05:05:12+0000,https://www.nytimes.com/2020/07/28/business/remington-bankruptcy-guns.html,568,Business,The New York Times
Major Outbreak in San Francisco Shelter Underlines Danger for the Homeless,2020-04-10T23:37:48+0000,https://www.nytimes.com/2020/04/10/us/coronavirus-san-francisco-homeless-shelter.html,734,National,The New York Times
House Pulls Surveillance Measure After Trump Tells Republicans to Vote No,2020-05-28T14:29:50+0000,https://www.nytimes.com/2020/05/28/us/politics/fisa-surveillance-fbi-trump.html,1388,Washington,The New York Times
No Witnesses,2020-02-01T05:43:23+0000,https://www.nytimes.com/2020/02/01/podcasts/the-latest-senate-trial-witness-vote.html,286,Podcasts,The New York Times
Driver Charged With Vehicular Homicide in Death of Seattle Protester,2020-07-08T23:02:42+0000,https://www.nytimes.com/2020/07/08/us/dawit-kelete-seattle-protest-driver-charges.html,589,Express,The New York Times
Supreme Court to Consider Limits on Contraception Coverage,2020-01-17T22:10:40+0000,https://www.nytimes.com/2020/01/17/us/supreme-court-contraception-coverage.html,1072,Washington,The New York Times
Trump Calls His Illness ‘a Blessing From God’,2020-10-08T01:45:22+0000,https://www.nytimes.com/2020/10/07/us/politics/trump-coronavirus-blessing.html,1753,Washington,The New York Times
Man Convicted of Trying to Blow Up Oklahoma City Bank Gets 25 Years in Prison,2020-03-23T22:19:45+0000,https://www.nytimes.com/2020/03/23/us/oklahoma-city-bomb-sentenced.html,634,Express,The New York Times
What to Do When Covid Doesn’t Go Away,2020-08-08T19:27:08+0000,https://www.nytimes.com/2020/08/08/opinion/sunday/covid-lyme-treatment-medicine.html,1180,OpEd,The New York Times
Basketball and Barkley Hendricks: The Lesser Known Work of an Influential Artist,2020-06-23T09:00:27+0000,https://www.nytimes.com/2020/06/23/sports/Barkley-Hendricks-jack-shainman-gallery.html,857,Sports,The New York Times
When Sweatpants Become Straitjackets,2020-05-27T16:09:21+0000,https://www.nytimes.com/2020/05/27/opinion/coronavirus-quarantine-work.html,857,OpEd,The New York Times
"Tiny Love Stories: ‘Alone in My Room, Crying, Eating Cake’",2020-04-14T19:00:10+0000,https://www.nytimes.com/2020/04/14/style/tiny-modern-love-stories-coronavirus-alone-crying-eating-cake.html,481,Styles,The New York Times
Notorious D.J.T. on Trial,2020-01-25T15:17:08+0000,https://www.nytimes.com/2020/01/25/opinion/sunday/trump-senate-impeachment-trial.html,897,OpEd,The New York Times
How to Make a Chess Set,2020-12-05T10:00:05+0000,https://www.nytimes.com/2020/12/05/style/how-to-make-a-chess-set.html,885,Styles,The New York Times
Rounding Up the Spies of World War II in 4 New Books,2020-02-11T21:49:28+0000,https://www.nytimes.com/2020/02/11/books/review/under-occupation-alan-furst.html,804,BookReview,The New York Times
Stephen Curry Has ‘Major FOMO’ in Life Outside the N.B.A. Bubble,2020-08-10T22:00:08+0000,https://www.nytimes.com/2020/08/10/sports/basketball/nba-stephen-curry.html,1272,Sports,The New York Times
Nearly Half of the U.S. Is in Drought. It May Get Worse.,2020-10-15T19:10:23+0000,https://www.nytimes.com/2020/10/15/climate/noaa-climate-call-drought.html,540,Climate,The New York Times
